ride_id,driver_id,passenger_id,date,status
11000,1007,2130,2025-08-10 13:56,成功
11001,1052,2334,2025-08-01 15:03,成功
11002,1043,2157,2025-08-25 03:01,成功
11003,1001,2132,2025-08-23 02:16,成功
11004,1007,2065,2025-07-13 12:12,成功
11005,1060,2322,2025-09-25 13:50,成功
11006,1018,2228,2025-07-03 20:53,司机拒载
11007,1032,2464,2025-09-07 13:43,乘客取消
11008,1038,2467,2025-07-15 10:35,司机拒载
11009,1069,2004,2025-08-14 11:13,成功
11010,1072,2310,2025-08-13 15:59,成功
11011,1013,2281,2025-07-31 06:22,乘客取消
11012,1000,2049,2025-08-14 03:12,成功
11013,1031,2268,2025-08-21 05:03,成功
11014,1074,2252,2025-07-18 17:11,乘客取消
11015,1062,2066,2025-07-19 15:12,成功
11016,1022,2174,2025-08-20 09:27,乘客取消
11017,1055,2034,2025-08-10 23:07,成功
11018,1058,2122,2025-09-23 09:07,司机拒载
11019,1062,2142,2025-07-30 17:26,成功
11020,1052,2219,2025-09-26 12:40,成功
11021,1038,2271,2025-07-04 00:30,乘客取消
11022,1015,2151,2025-07-24 23:38,司机拒载
11023,1017,2491,2025-08-07 16:30,成功
11024,1004,2403,2025-07-03 06:28,成功
11025,1058,2264,2025-08-19 19:33,成功
11026,1004,2333,2025-07-07 17:38,成功
11027,1025,2277,2025-09-20 01:41,司机拒载
11028,1004,2465,2025-09-24 02:37,成功
11029,1038,2051,2025-07-02 13:12,乘客取消
11030,1073,2439,2025-08-01 14:53,成功
11031,1042,2132,2025-08-01 10:22,成功
11032,1004,2444,2025-09-13 22:38,成功
11033,1040,2371,2025-08-08 22:54,司机拒载
11034,1068,2077,2025-09-02 12:40,成功
11035,1005,2140,2025-09-10 15:32,成功
11036,1005,2105,2025-07-05 07:43,成功
11037,1068,2171,2025-06-30 02:15,成功
11038,1032,2343,2025-09-06 07:02,成功
11039,1075,2426,2025-09-22 15:39,成功
11040,1045,2252,2025-08-23 11:58,乘客取消
11041,1046,2125,2025-08-11 04:36,成功
11042,1003,2454,2025-09-21 13:02,成功
11043,1006,2025,2025-08-07 01:35,成功
11044,1052,2317,2025-09-22 22:36,成功
11045,1045,2414,2025-08-20 07:34,成功
11046,1025,2022,2025-09-07 13:28,成功
