ride_id,driver_id,passenger_id,date,status
13000,1040,2170,2025-07-22 15:29,成功
13001,1027,2440,2025-08-29 18:02,乘客取消
13002,1067,2350,2025-09-13 01:54,成功
13003,1065,2138,2025-08-04 13:09,成功
13004,1008,2005,2025-07-23 18:30,乘客取消
13005,1076,2474,2025-08-14 14:35,司机拒载
13006,1050,2042,2025-07-01 07:50,成功
13007,1066,2360,2025-07-15 17:18,成功
13008,1056,2244,2025-07-06 02:34,司机拒载
13009,1034,2379,2025-09-26 13:56,乘客取消
13010,1058,2345,2025-08-30 13:11,成功
13011,1077,2322,2025-07-01 03:34,乘客取消
13012,1021,2245,2025-08-29 00:44,乘客取消
13013,1064,2396,2025-08-11 14:19,成功
13014,1043,2046,2025-08-01 00:23,成功
13015,1038,2110,2025-07-07 21:47,乘客取消
13016,1034,2345,2025-07-09 03:56,成功
13017,1058,2153,2025-09-24 10:25,成功
13018,1021,2290,2025-07-19 03:35,乘客取消
13019,1068,2236,2025-07-09 16:23,成功
13020,1066,2265,2025-09-08 22:54,成功
13021,1006,2212,2025-09-14 04:30,成功
13022,1070,2372,2025-09-03 21:44,成功
13023,1019,2165,2025-08-24 19:11,成功
13024,1037,2351,2025-09-12 22:35,司机拒载
13025,1048,2135,2025-09-10 04:19,成功
13026,1030,2125,2025-09-16 08:22,成功
13027,1002,2060,2025-07-26 05:29,乘客取消
13028,1068,2096,2025-08-02 06:21,司机拒载
13029,1014,2059,2025-07-19 16:27,成功
13030,1016,2267,2025-09-07 11:26,成功
13031,1063,2381,2025-06-29 22:44,司机拒载
