ride_id,driver_id,passenger_id,date,status
12000,1053,2389,2025-08-21 22:13,成功
12001,1030,2109,2025-09-12 07:17,司机拒载
12002,1059,2402,2025-09-10 21:46,乘客取消
12003,1013,2347,2025-06-29 20:35,司机拒载
12004,1045,2232,2025-08-17 22:50,成功
12005,1032,2278,2025-09-07 05:13,成功
12006,1066,2458,2025-07-28 00:30,成功
12007,1024,2060,2025-08-02 22:47,成功
12008,1016,2066,2025-07-02 21:37,乘客取消
12009,1062,2232,2025-09-23 07:07,成功
12010,1048,2265,2025-08-20 08:26,成功
12011,1025,2279,2025-08-27 13:55,乘客取消
12012,1035,2158,2025-09-05 10:14,司机拒载
12013,1054,2377,2025-08-19 03:52,乘客取消
12014,1040,2221,2025-09-21 09:21,乘客取消
12015,1063,2407,2025-09-19 22:24,成功
12016,1076,2446,2025-08-27 14:19,成功
12017,1058,2213,2025-08-01 21:36,成功
12018,1052,2453,2025-07-26 23:36,成功
12019,1022,2222,2025-08-11 21:33,成功
12020,1053,2079,2025-08-21 18:09,乘客取消
12021,1049,2430,2025-07-10 00:17,成功
12022,1007,2225,2025-09-06 10:38,成功
12023,1076,2375,2025-07-28 05:20,成功
12024,1018,2419,2025-09-20 11:04,成功
12025,1024,2138,2025-07-02 16:28,成功
12026,1064,2388,2025-07-02 04:25,乘客取消
12027,1011,2242,2025-07-29 13:46,乘客取消
12028,1003,2119,2025-09-22 12:52,成功
12029,1078,2219,2025-07-27 00:00,成功
12030,1048,2356,2025-07-31 20:26,成功
12031,1061,2117,2025-09-15 05:03,司机拒载
12032,1036,2167,2025-07-13 14:35,成功
12033,1070,2446,2025-07-13 03:17,成功
12034,1046,2040,2025-08-08 03:59,乘客取消
12035,1057,2075,2025-08-16 22:01,乘客取消
12036,1030,2191,2025-07-24 11:53,成功
12037,1031,2076,2025-09-26 05:31,成功
12038,1011,2106,2025-07-13 08:05,成功
12039,1055,2207,2025-08-07 06:54,成功
12040,1071,2165,2025-07-15 04:06,成功
12041,1068,2232,2025-07-04 20:50,成功
12042,1070,2031,2025-08-23 06:39,成功
